1,15,0,0,15
1,13,0,0,13
1,11,0,0,11
1,14,0,0,14
1,12,0,0,12
1,12,0,0,12
1,7,0,0,7
1,5,0,0,5
1,13,0,0,13
1,15,0,0,15
1,15,0,0,15
1,13,0,0,13
1,10,0,0,10
1,13,0,0,13
1,13,0,0,13
1,11,1,0,12
1,13,1,0,14
1,14,0,0,14
1,5,0,0,5
1,13,1,0,14
1,14,0,0,14
1,5,0,0,5
1,12,0,0,12
1,8,1,0,9
1,12,0,0,12
1,14,0,0,14
1,12,0,0,12
1,12,0,0,12
1,14,0,0,14
1,8,1,0,9
1,13,0,0,13
1,14,0,0,14
1,12,0,0,12
1,13,0,0,13
1,7,0,0,7
1,10,0,0,10
1,14,0,0,14
1,11,0,0,11
1,14,0,0,14
1,14,0,0,14
1,14,0,0,14
1,13,0,0,13
1,12,0,0,12
1,17,0,0,17
1,4,0,0,4
1,12,0,0,12
1,12,0,0,12
1,13,0,0,13
1,13,0,0,13
1,14,0,0,14
