11.040,1.545,1.276
4.135,2.293,6.092
2.499,1.115,0.489
6.092,1.965,0.312
11.825,15.717,4.790
11.580,1.582,0.153
2.230,2.329,0.718
8.198,3.321,23.106
1.821,17.751,0.086
54.648,6.212,1.787
0.261,2.218,1.587
6.598,1.378,4.143
2.086,14.988,0.723
2.240,13.486,3.689
4.226,25.014,0.064
2.182,1.666,9.581
3.797,2.876,0.058
0.757,4.517,6.072
14.248,0.851,1.981
1.496,0.875,1.670
33.273,1.606,0.741
7.813,2.794,0.055
6.894,7.270,0.304
18.161,0.562,10.118
51.734,0.141,1.097
0.404,41.964,1.058
4.369,0.581,20.312
0.310,2.496,0.311
0.788,6.580,4.283
19.054,0.732,7.677
11.448,23.438,0.184
10.497,0.510,1.231
17.554,0.519,1.312
0.651,1.573,1.436
9.384,7.312,3.145
98.993,3.642,1.067
25.849,25.608,17.389
2.164,4.651,7.529
2.706,10.010,4.356
5.962,11.409,1.384
15.104,15.944,3.648
12.480,4.188,0.278
0.794,0.580,4.621
0.215,14.533,0.145
1.075,82.711,1.592
10.652,1.758,12.009
2.450,3.468,1.519
2.079,3.521,0.010
0.822,0.514,7.751
0.374,2.747,0.418
0.429,5.086,5.793
1.583,0.510,8.252
11.750,9.430,0.587
0.199,0.185,3.887
0.250,15.989,4.015
3.271,0.650,0.394
3.583,10.902,0.346
23.412,1.494,3.825
2.798,0.589,2.530
17.525,0.805,4.765
0.468,9.295,24.542
2.411,2.751,5.541
9.434,2.304,3.761
7.793,30.901,5.160
10.655,0.144,2.400
8.077,13.934,14.645
21.056,7.941,13.799
4.070,43.154,0.426
1.771,0.651,9.028
0.775,2.625,1.044
48.302,0.307,4.240
14.218,0.705,2.463
9.575,7.411,1.717
7.788,0.307,3.280
1.614,17.358,11.309
0.931,12.696,0.705
0.124,2.944,7.889
10.875,0.057,12.630
10.750,8.216,4.465
0.293,0.387,0.454
1.775,15.058,5.614
0.802,4.517,1.743
17.541,7.590,31.189
0.860,0.321,0.180
29.798,1.041,2.518
1.227,2.302,20.498
10.460,0.306,2.276
0.573,3.387,5.994
36.297,0.205,0.980
12.572,0.496,1.334
2.969,0.531,6.383
4.821,1.830,3.736
1.639,1.361,0.746
1.213,8.911,2.291
0.633,1.848,0.904
5.451,36.380,1.105
0.606,1.712,1.687
10.061,6.446,8.016
4.397,2.257,2.741
1.742,3.303,5.555
