2.574,2.145,7.105
0.667,4.045,7.908
10.952,1.774,0.525
7.957,3.957,5.236
6.321,21.727,0.360
12.974,5.278,3.225
8.371,19.133,3.331
3.600,0.489,8.611
1.865,0.473,4.507
2.157,0.323,0.470
6.147,7.053,1.673
3.042,4.147,1.471
0.433,3.905,3.176
29.899,3.581,6.495
2.233,1.502,5.243
2.887,12.937,3.584
3.914,7.148,0.871
10.475,13.873,1.340
0.827,0.504,1.735
8.099,11.412,1.062
2.581,9.791,0.519
1.865,14.939,3.374
8.993,6.657,7.162
5.955,4.765,0.098
3.506,9.042,8.878
0.919,7.239,0.815
8.890,2.919,0.428
35.278,12.510,5.750
5.546,8.677,1.812
6.396,4.434,1.458
6.940,1.305,6.428
3.458,4.235,1.071
4.373,0.744,5.532
4.356,14.616,1.768
10.372,3.578,1.949
2.515,0.578,3.946
6.552,1.197,1.669
6.037,5.969,8.659
9.141,2.554,0.616
11.189,15.515,6.343
12.086,12.980,0.381
42.318,0.412,2.999
3.816,4.415,1.581
2.586,6.354,1.348
0.514,8.558,4.352
1.410,0.654,3.801
36.560,1.892,0.744
2.430,10.235,2.386
1.175,13.643,0.556
4.354,7.178,3.513
0.821,6.833,6.210
14.644,16.807,1.277
1.422,3.113,1.682
0.243,5.324,0.711
15.305,2.154,2.052
2.814,6.798,1.594
11.496,6.385,0.680
5.276,2.909,6.587
14.770,31.859,4.631
8.839,11.604,3.505
30.600,2.553,8.754
0.677,4.182,0.521
3.255,1.852,4.498
13.511,3.829,2.266
1.132,3.258,0.568
2.901,3.815,3.743
9.336,11.228,2.358
0.813,4.183,1.366
4.564,14.064,1.265
6.614,15.236,6.497
1.540,4.575,5.058
3.589,5.626,2.745
1.643,1.242,4.775
24.376,3.604,5.861
3.973,8.235,13.144
10.519,2.844,2.515
2.418,2.557,1.035
2.967,1.096,2.440
23.275,5.390,1.142
2.924,8.470,0.385
2.807,26.440,3.203
9.612,1.283,0.718
0.776,5.836,1.783
6.745,16.596,1.923
7.068,2.654,0.953
17.317,1.690,1.779
12.805,3.456,0.097
9.075,16.698,0.064
0.243,6.844,5.973
4.921,3.663,5.216
0.410,6.292,6.011
0.840,6.872,0.521
18.499,3.635,0.819
21.349,2.422,0.733
3.950,16.716,0.267
3.699,7.332,0.567
17.502,0.474,5.899
7.785,5.428,2.916
4.915,10.597,0.226
1.590,1.964,0.641
