3.646,48.193,2.781
4.719,1.838,5.884
10.284,0.246,1.287
1.688,1.895,17.110
6.161,9.084,1.836
2.071,0.870,1.145
13.461,19.488,2.284
10.393,16.319,0.244
5.364,5.726,1.070
16.565,0.112,0.320
0.705,61.325,8.698
16.962,1.568,0.176
4.359,1.099,0.689
6.514,0.277,0.504
15.585,1.494,0.971
1.066,0.031,0.407
4.021,0.920,0.293
6.047,0.285,3.252
5.270,2.294,0.317
18.903,0.176,0.198
4.661,0.868,0.730
1.305,0.999,0.690
0.982,2.130,1.392
3.742,1.093,0.144
1.597,1.485,0.216
1.389,0.235,0.367
4.670,0.092,0.318
1.582,1.085,1.007
3.244,0.122,0.481
2.687,3.338,0.572
3.842,0.521,0.581
13.324,1.460,0.993
1.925,0.496,0.491
4.777,2.056,0.445
15.419,1.128,2.884
7.712,3.150,0.477
13.898,0.922,0.139
0.336,11.636,0.179
1.124,1.402,0.604
15.356,1.797,2.522
0.394,0.855,0.564
16.279,6.896,0.097
0.303,5.563,0.198
1.953,2.684,0.116
24.020,2.056,0.025
1.972,0.880,0.094
5.542,5.374,0.274
0.977,5.741,0.103
0.398,5.274,0.404
1.923,11.891,0.161
