1.0000,3.0000,4.0000,3.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6000,0.0000,0.0000,0.0000,1.2000,0.0000
2.0000,2.0000,3.0000,0.0000,0.0000,0.0000,1.6000,2.5500,0.0000,0.0000,0.0000,0.0000,2.0000,3.0600,0.1000,0.0000,0.0000,1.0200,0.0000
3.0000,1.0000,0.0000,4.0000,0.0000,0.8000,1.3600,2.1675,0.0000,0.2000,0.0000,0.0000,1.7000,2.6010,0.0850,0.0000,0.0000,0.8670,2.0000
4.0000,4.0000,2.0000,4.0000,0.0000,0.6800,1.1560,1.8424,5.0000,0.1700,0.0000,1.2000,1.4450,2.2108,0.0723,0.0000,0.0000,0.7369,3.7000
5.0000,0.0000,0.0000,1.0000,0.4000,0.5780,0.9826,1.5660,4.2500,0.3445,0.0000,1.0200,1.2282,1.8792,0.0614,0.3000,0.0000,0.6264,3.1450
6.0000,0.0000,1.0000,0.0000,0.7400,0.4913,0.8352,1.3311,3.6125,0.2928,0.6000,0.8670,1.0440,1.5973,0.1522,0.2550,0.0000,0.5324,2.6732
7.0000,0.0000,1.0000,2.0000,1.0290,0.4176,0.7099,1.1314,3.0706,0.2489,1.1100,0.7369,0.8874,1.3577,0.1294,0.2167,0.6000,0.4526,2.2723
8.0000,1.0000,0.0000,2.0000,0.8746,1.1550,0.6034,0.9617,2.6100,0.4116,0.9435,0.6264,0.7543,1.1541,0.1100,0.1842,1.1100,0.3847,1.9314
9.0000,0.0000,1.0000,3.0000,1.1435,0.9817,0.5129,0.8175,2.2185,0.3498,1.4020,0.5324,0.6412,0.9810,0.0935,0.1566,0.9435,1.5270,1.6417
10.0000,1.0000,4.0000,0.0000,0.9719,1.6345,0.4360,0.6949,1.8857,0.2974,1.1917,0.4526,0.5450,4.4338,0.1794,0.1331,0.8020,1.2979,1.3955
11.0000,0.0000,0.0000,0.0000,1.2261,1.3893,0.3706,0.5906,1.6029,0.4528,1.0129,0.3847,0.4632,3.7687,0.2525,0.1131,0.6817,1.1032,1.1861
12.0000,0.0000,1.0000,1.0000,1.4422,1.1809,0.3150,0.5020,1.3625,0.3848,1.4610,0.3270,0.3937,3.2034,0.2147,0.3962,0.5794,0.9378,1.0082
13.0000,3.0000,0.0000,1.0000,1.2259,1.0038,0.2677,3.4267,1.1581,0.5271,1.2418,0.2779,0.3347,2.7229,0.1825,0.6367,0.4925,0.7971,0.8570
14.0000,1.0000,1.0000,1.0000,1.0420,1.6532,0.2276,2.9127,0.9844,0.4480,1.6556,0.2362,0.2845,2.3145,0.1551,0.8412,0.4186,0.6775,0.7284
15.0000,1.0000,1.0000,0.0000,0.8857,2.2052,0.1934,2.4758,0.8367,0.3808,2.0072,0.2008,0.2418,1.9673,0.2318,0.7150,0.3558,0.5759,0.6192
16.0000,0.0000,1.0000,1.0000,1.1528,1.8744,0.1644,2.1044,0.7112,0.3237,2.3061,0.1707,0.2055,1.6722,0.1970,0.9078,0.3025,0.4895,0.5263
17.0000,3.0000,0.0000,0.0000,0.9799,1.5933,0.1398,4.7888,0.6045,0.4752,1.9602,0.1451,0.1747,1.4214,0.2675,0.7716,0.2571,0.4161,0.4474
18.0000,0.0000,0.0000,2.0000,1.2329,1.3543,0.1188,4.0705,0.5138,0.6039,1.6662,0.1233,0.1485,1.2082,0.2274,0.6559,0.8185,0.3537,0.3802
19.0000,1.0000,0.0000,2.0000,1.0480,1.9511,0.1010,3.4599,0.4368,0.7133,1.4163,0.1048,0.1262,1.0269,0.1933,0.5575,1.2958,0.3006,0.3232
20.0000,1.0000,0.0000,1.0000,0.8908,2.4585,0.0858,2.9409,0.3713,0.8063,1.2038,0.0891,0.1073,0.8729,0.1643,0.7739,1.1014,0.2555,0.2747
21.0000,0.0000,0.0000,0.0000,1.1572,2.0897,0.0730,2.4998,0.3156,0.8854,1.0232,0.0757,0.0912,0.7420,0.2396,0.6578,0.9362,0.2172,0.2335
22.0000,0.0000,0.0000,2.0000,1.3836,1.7762,0.0620,2.1248,0.2682,0.9526,0.8698,0.0644,0.0775,0.6307,0.2037,0.5591,1.3958,0.1846,0.1985
23.0000,3.0000,0.0000,0.0000,1.1761,1.5098,0.0527,4.8061,0.2280,1.0097,0.7393,0.0547,0.0659,0.5361,0.2731,0.4753,1.1864,0.1569,0.1687
24.0000,0.0000,1.0000,0.0000,1.3997,1.2833,0.0448,4.0852,0.1938,0.8582,1.2284,0.0465,0.0560,0.4557,0.3322,0.4040,1.0084,0.1334,0.1434
25.0000,0.0000,2.0000,0.0000,1.5897,1.0908,0.0381,3.4724,0.1647,0.7295,1.0441,1.2395,0.0476,0.3873,0.3823,0.3434,0.8572,0.1134,0.1219
26.0000,2.0000,0.0000,1.0000,1.3512,0.9272,1.6324,2.9515,0.1400,0.8201,0.8875,1.0536,0.0405,0.3292,0.3250,0.5919,0.7286,0.0964,0.1036
27.0000,0.0000,2.0000,3.0000,1.5486,0.7881,1.3875,2.5088,0.1190,0.6971,0.7544,2.0956,0.0344,0.2798,0.2762,0.5031,0.6193,1.2819,0.0881
28.0000,2.0000,0.0000,0.0000,1.3163,0.6699,2.7794,2.1325,0.1012,0.7925,0.6412,1.7812,0.0292,0.2379,0.3348,0.4276,0.5264,1.0896,0.0749
29.0000,2.0000,2.0000,0.0000,1.1188,0.5694,3.9625,1.8126,0.0860,0.6736,0.5450,2.7140,0.0249,0.2022,0.3846,0.3635,0.4474,0.9262,0.0636
30.0000,1.0000,3.0000,0.0000,0.9510,1.2840,3.3681,1.5407,0.0731,0.5726,0.4633,2.3069,2.0211,0.1719,0.4269,0.3090,0.3803,0.7873,0.0541
31.0000,0.0000,0.0000,1.0000,1.2084,1.0914,2.8629,1.3096,0.0621,0.6867,0.3938,1.9609,1.7180,0.1461,0.3629,0.5626,0.3233,0.6692,0.0460
32.0000,2.0000,3.0000,0.0000,1.0271,0.9277,4.0335,1.1132,0.0528,0.5837,0.3347,1.6668,3.4603,0.1242,0.4084,0.4782,0.2748,0.5688,0.0391
33.0000,2.0000,0.0000,0.0000,0.8730,0.7885,5.0284,0.9462,0.0449,0.6961,0.2845,1.4167,2.9412,0.1055,0.4472,0.4065,0.2336,0.4835,0.0332
34.0000,2.0000,0.0000,0.0000,0.7421,0.6703,5.8742,0.8043,0.0382,0.7917,0.2418,1.2042,2.5000,0.0897,0.4801,0.3455,0.1985,0.4110,0.0282
35.0000,2.0000,0.0000,0.0000,0.6308,0.5697,6.5930,0.6836,0.0324,0.8730,0.2056,1.0236,2.1250,0.0763,0.5081,0.2937,0.1688,0.3493,0.0240
36.0000,1.0000,0.0000,0.0000,0.5362,1.2843,5.6041,0.5811,0.0276,0.9420,0.1747,0.8701,1.8063,0.0648,0.5319,0.2496,0.1434,0.2969,0.0204
