1,11,11,0,22
1,36,11,0,47
1,17,13,0,30
1,8,9,0,17
1,38,10,0,48
1,29,13,0,42
1,66,12,0,78
1,9,5,0,14
1,15,10,0,25
1,20,10,1,31
1,21,5,0,26
1,32,13,0,45
1,16,12,0,28
1,8,4,0,12
1,16,11,0,27
1,23,9,0,32
1,6,11,0,17
1,40,9,0,49
1,13,8,0,21
1,26,5,0,31
1,32,10,0,42
1,57,14,0,71
1,135,11,0,146
1,29,9,0,38
1,4,4,0,8
1,15,10,0,25
1,30,9,0,39
1,39,11,0,50
1,16,13,1,30
1,22,13,0,35
1,7,12,0,19
1,22,12,0,34
1,107,12,0,119
1,71,13,0,84
1,18,13,0,31
1,23,12,0,35
1,22,14,0,36
1,38,9,0,47
1,21,11,0,32
1,10,14,0,24
1,17,11,0,28
1,98,12,0,110
1,32,10,0,42
1,8,5,0,13
1,14,14,0,28
1,11,11,0,22
1,5,10,0,15
1,15,11,1,27
1,14,10,0,24
1,28,11,0,39
1,7,11,0,18
1,24,9,0,33
1,7,12,0,19
1,18,7,0,25
1,31,12,0,43
1,8,4,0,12
1,26,11,0,37
1,39,11,0,50
1,14,12,0,26
1,19,7,0,26
1,56,12,0,68
1,15,6,0,21
1,39,9,0,48
1,53,25,0,78
1,56,18,0,74
1,14,11,0,25
1,9,9,0,18
1,59,12,0,71
1,25,16,0,41
1,24,13,0,37
1,13,5,0,18
1,33,13,0,46
1,17,4,0,21
1,13,12,0,25
1,26,12,0,38
1,28,12,0,40
1,5,11,0,16
1,28,11,0,39
1,10,11,0,21
1,59,5,0,64
1,3,7,0,10
1,37,12,0,49
1,28,13,0,41
1,16,13,0,29
1,13,10,0,23
1,42,14,0,56
1,20,13,0,33
1,12,4,0,16
1,14,9,0,23
1,6,13,0,19
1,15,11,0,26
1,6,6,0,12
1,47,13,0,60
1,7,12,0,19
1,29,11,0,40
1,16,7,0,23
1,14,10,0,24
